,user_count
2017-12-22,106
2017-12-23,129
2017-12-24,125
2017-12-25,109
2017-12-26,131
2017-12-27,129
2017-12-28,115
2017-12-29,129
2017-12-30,114
2017-12-31,151
2018-01-01,170
2018-01-02,139
2018-01-03,141
2018-01-04,156
2018-01-05,139
2018-01-06,124
2018-01-07,140
2018-01-08,148
2018-01-09,140
2018-01-10,142
2018-01-11,154
2018-01-12,130
2018-01-13,105
2018-01-14,135
2018-01-15,155
2018-01-16,153
2018-01-17,173
2018-01-18,157
2018-01-19,119
2018-01-20,126
2018-01-21,132
2018-01-22,134
2018-01-23,132
2018-01-24,121
2018-01-25,113
2018-01-26,145
2018-01-27,155
2018-01-28,165
2018-01-29,168
2018-01-30,169
2018-01-31,156
2018-02-01,137
2018-02-02,159
2018-02-03,125
2018-02-04,152
2018-02-05,153
2018-02-06,168
2018-02-07,146
2018-02-08,122
2018-02-09,116
2018-02-10,128
2018-02-11,137
2018-02-12,140
2018-02-13,172
2018-02-14,148
2018-02-15,146
2018-02-16,164
2018-02-17,126
2018-02-18,127
2018-02-19,167
2018-02-20,158
2018-02-21,135
2018-02-22,139
2018-02-23,128
2018-02-24,121
2018-02-25,138
2018-02-26,160
2018-02-27,131
2018-02-28,144
2018-03-01,144
2018-03-02,127
2018-03-03,138
2018-03-04,147
2018-03-05,147
2018-03-06,136
2018-03-07,134
2018-03-08,136
2018-03-09,124
2018-03-10,119
2018-03-11,134
2018-03-12,147
2018-03-13,133
2018-03-14,147
2018-03-15,151
2018-03-16,143
2018-03-17,129
2018-03-18,134
2018-03-19,161
2018-03-20,154
2018-03-21,140
2018-03-22,159
2018-03-23,139
2018-03-24,132
2018-03-25,151
2018-03-26,167
2018-03-27,173
2018-03-28,143
2018-03-29,147
2018-03-30,149
2018-03-31,109
2018-04-01,125
2018-04-02,151
2018-04-03,162
2018-04-04,160
2018-04-05,151
2018-04-06,168
2018-04-07,159
2018-04-08,159
2018-04-09,201
2018-04-10,204
2018-04-11,155
2018-04-12,186
2018-04-13,166
2018-04-14,185
2018-04-15,177
2018-04-16,176
2018-04-17,183
2018-04-18,172
2018-04-19,163
2018-04-20,167
2018-04-21,156
2018-04-22,180
2018-04-23,183
2018-04-24,209
2018-04-25,171
2018-04-26,167
2018-04-27,171
2018-04-28,158
2018-04-29,175
2018-04-30,198
2018-05-01,199
2018-05-02,163
2018-05-03,190
2018-05-04,155
2018-05-05,162
2018-05-06,178
2018-05-07,176
2018-05-08,179
2018-05-09,184
2018-05-10,175
2018-05-11,169
2018-05-12,177
2018-05-13,186
2018-05-14,202
2018-05-15,195
2018-05-16,172
2018-05-17,201
2018-05-18,157
2018-05-19,152
2018-05-20,202
2018-05-21,191
2018-05-22,203
2018-05-23,214
2018-05-24,189
2018-05-25,179
2018-05-26,200
2018-05-27,178
2018-05-28,200
2018-05-29,164
2018-05-30,165
2018-05-31,203
2018-06-01,169
2018-06-02,164
2018-06-03,184
2018-06-04,218
2018-06-05,192
2018-06-06,181
2018-06-07,208
2018-06-08,259
2018-06-09,223
2018-06-10,245
2018-06-11,209
2018-06-12,201
2018-06-13,205
2018-06-14,187
2018-06-15,198
2018-06-16,179
2018-06-17,212
2018-06-18,189
2018-06-19,232
2018-06-20,190
2018-06-21,177
2018-06-22,173
2018-06-23,193
2018-06-24,192
2018-06-25,201
2018-06-26,190
2018-06-27,171
2018-06-28,189
2018-06-29,171
2018-06-30,173
2018-07-01,207
2018-07-02,207
2018-07-03,165
2018-07-04,196
2018-07-05,184
2018-07-06,153
2018-07-07,169
2018-07-08,201
2018-07-09,230
2018-07-10,216
2018-07-11,206
2018-07-12,185
2018-07-13,177
2018-07-14,171
2018-07-15,210
2018-07-16,217
2018-07-17,212
2018-07-18,170
2018-07-19,179
2018-07-20,173
2018-07-21,163
2018-07-22,163
2018-07-23,185
2018-07-24,209
2018-07-25,195
2018-07-26,176
2018-07-27,200
2018-07-28,206
2018-07-29,170
2018-07-30,199
2018-07-31,199
2018-08-01,169
2018-08-02,172
2018-08-03,181
2018-08-04,170
2018-08-05,183
2018-08-06,197
2018-08-07,206
2018-08-08,182
2018-08-09,181
2018-08-10,194
2018-08-11,157
2018-08-12,175
2018-08-13,201
2018-08-14,203
2018-08-15,174
2018-08-16,189
2018-08-17,193
2018-08-18,159
2018-08-19,194
2018-08-20,187
2018-08-21,151
2018-08-22,191
2018-08-23,164
2018-08-24,167
2018-08-25,161
2018-08-26,197
2018-08-27,205
2018-08-28,194
2018-08-29,167
2018-08-30,170
2018-08-31,148
2018-09-01,149
2018-09-02,165
2018-09-03,189
2018-09-04,206
2018-09-05,174
2018-09-06,186
2018-09-07,163
2018-09-08,184
2018-09-09,192
2018-09-10,217
2018-09-11,169
2018-09-12,190
2018-09-13,171
2018-09-14,153
2018-09-15,145
2018-09-16,201
2018-09-17,201
2018-09-18,203
2018-09-19,186
2018-09-20,175
2018-09-21,170
2018-09-22,233
2018-09-23,223
2018-09-24,217
2018-09-25,190
2018-09-26,190
2018-09-27,182
2018-09-28,182
2018-09-29,184
2018-09-30,190
2018-10-01,196
2018-10-02,205
2018-10-03,203
2018-10-04,177
2018-10-05,171
2018-10-06,179
2018-10-07,181
2018-10-08,202
2018-10-09,197
2018-10-10,215
2018-10-11,191
2018-10-12,169
2018-10-13,188
2018-10-14,169
2018-10-15,205
2018-10-16,210
2018-10-17,192
2018-10-18,214
2018-10-19,182
2018-10-20,183
2018-10-21,201
2018-10-22,247
2018-10-23,197
2018-10-24,191
2018-10-25,176
2018-10-26,200
2018-10-27,193
2018-10-28,203
2018-10-29,218
2018-10-30,225
2018-10-31,193
2018-11-01,235
2018-11-02,218
2018-11-03,167
2018-11-04,199
2018-11-05,213
2018-11-06,197
2018-11-07,198
2018-11-08,186
2018-11-09,165
2018-11-10,189
2018-11-11,225
2018-11-12,213
2018-11-13,198
2018-11-14,207
2018-11-15,206
2018-11-16,186
2018-11-17,176
2018-11-18,202
2018-11-19,214
2018-11-20,192
2018-11-21,206
2018-11-22,187
2018-11-23,168
2018-11-24,172
2018-11-25,207
2018-11-26,237
2018-11-27,220
2018-11-28,184
2018-11-29,183
2018-11-30,192
2018-12-01,193
2018-12-02,217
2018-12-03,227
2018-12-04,227
2018-12-05,172
2018-12-06,208
2018-12-07,182
