interval_id,u_connected_component_count,u_mean_connected_component_size,u_mean_shortest_path,u_diameter,u_node_count,u_edge_count,u_density,u_mean_clustering_coefficient,u_mean_degree,u_assortativity
2017-01-01,-0.9099938792760512,0.11841517525543932,-0.20257186476676195,-0.33438282997117375,-1.1055853390328483,-0.9575545865753295,1.6813615756626026,0.23364535035946435,-0.10539832864919763,-0.04298414426716885
2017-01-02,-0.667429766950941,0.038348116363405994,-0.2287464326849393,-0.38118754988971126,-0.7352878810815805,-0.61074133613954,1.0885288913692401,0.0023346565547748034,0.12271491345053129,0.044770516290861186
2017-01-03,-0.5449935087039887,0.3518289532606432,-0.47801741799021874,-0.445484761608259,-0.4057930228604099,-0.20626444085463308,0.7525338148499919,0.5316174931593184,0.5668842008092758,-0.007013158773235975
2017-01-04,-0.558488164894355,0.2985165154819478,-0.5900489105600623,-0.4825685751868235,-0.3511731468492269,-0.11474459759436127,0.7299245807410183,0.491294865257225,0.6203254460034361,0.33354183261478987
2017-01-05,-0.6189649111663784,0.43683632096376834,-0.4535822692831454,-0.4546222978896934,-0.295197612125218,-0.013197220831161356,0.7664880677896432,0.5438534061272099,0.7802994086941267,-0.004925971322603153
2017-01-06,-0.5218864215655885,0.2993402341798729,-0.4302035297109277,-0.3920246935307721,-0.41423183616182513,-0.22612471645433807,0.7716513468190009,0.4914563082203386,0.48191097214147194,-0.055998060695106676
2017-01-07,-0.5841093531358519,-0.0026018218379430546,-0.22964918538743606,-0.27601690049610517,-0.6830464883190515,-0.5921498131438958,0.9420422280395957,0.26399362947165406,-0.008784115371983625,0.21704080864186331
2017-01-08,-0.6490437766346695,0.11709719437913071,-0.3967945889522634,-0.2604280908132441,-0.6460996061666049,-0.44469460873634475,1.0348461722906728,0.5069748299971942,0.29327123467589217,0.4154515354524223
2017-01-09,-0.5158936249524778,0.43907114390082114,-0.4040116381656091,-0.2740390186662879,-0.3929329121163673,-0.19884754141943634,0.6127442721250062,0.3737320939308214,0.47306848555037456,0.21148064268531822
2017-01-10,-0.590968921104363,0.4041973927707489,-0.5018676295261449,-0.35230442816928126,-0.2680990623303693,-0.09166860520061856,0.5846823037956104,0.38494589085863723,0.4658744420903953,0.32170070077648794
2017-01-11,-0.6399876274388596,0.5252285790344744,-0.45295933198845506,-0.4103332330721794,-0.22100838214175186,0.0693292517725175,0.6768326969472435,0.5272748795590881,0.7225097142201178,-0.12811717196086247
2017-01-12,-0.596409667001494,0.6481304108606939,-0.36634172619567984,-0.2770627210908229,-0.18064633436783997,0.05017098056709692,0.46772542506204906,0.3635355186350057,0.5493777038977539,-0.27984721966659726
2017-01-13,-0.5383064482973413,0.17100493465418765,-0.36340214351308736,-0.3486702039417541,-0.4223009160512593,-0.1949970058665812,0.7072183041066467,0.1573345728378593,0.4192590482259713,0.057318110438140585
2017-01-14,-0.7556875600448063,0.1383296398724362,-0.0935385155144272,-0.10151319847481471,-0.8585571957106786,-0.7149251045019122,1.18991250164594,0.23451006264085084,0.013371635679573229,0.12824421183571474
2017-01-15,-0.6550362583356418,-0.0686583853335856,-0.11886065651087462,-0.14267858938624026,-0.774168839481816,-0.6495611344246494,1.038420434424614,-0.012515463257727144,-0.04699595066052334,0.0769469577135976
2017-01-16,-0.5491851767561172,0.20096006808487563,-0.24945931346526662,-0.37059162339859186,-0.43845557311610095,-0.2602537478608174,0.6795381244957416,0.4492400400465069,0.33583623544816404,0.2967844595747803
2017-01-17,-0.6085266864686212,0.45803166847006305,-0.2802087343670124,-0.1748487581124966,-0.42789785689612747,-0.23045786026200601,0.7152236999039476,0.4140084970924618,0.4606159251060387,0.3180330589589003
2017-01-18,-0.5636565293043305,0.6286587926095685,-0.5039542287869128,-0.3699451058190145,-0.13440450758320854,0.10786066669143934,0.5471826754200607,0.48844495203119837,0.6504078982117091,-0.049343783780095254
2017-01-19,-0.5515790863856944,0.3659036221679306,-0.6817911629272502,-0.4624299313029412,-0.3150297791004779,-0.03830486397494831,0.76162778785274,0.3797676102071054,0.6498887608982816,0.01363225456928562
2017-01-20,-0.6325936633555139,0.3810870369576243,-0.5031679811774545,-0.31693957069486006,-0.48772151729490154,-0.24146379247884808,0.9416449875020642,0.7265156653031782,0.45257090363754443,-0.00019184885555799446
2017-01-21,-0.7395201547371889,0.09832102869817091,-0.0801144383385541,-0.019314196532437596,-0.8363147416681468,-0.6963877660907002,1.1612791337010122,-0.03868973721412639,-0.09992465609210345,0.03723483038847679
2017-01-22,-0.7107644695997063,0.25143121779950545,-0.2554993725420743,-0.13264243353914096,-0.7612947290255286,-0.5978387206745169,1.0918042866114879,-0.014088283837179826,0.08820690512773548,-0.11285762737220473
2017-01-23,-0.5314702813288908,0.32455675529875877,-0.24690871793784452,-0.08724065432594286,-0.3321868398538528,-0.10971657101564329,0.6327460046319258,0.42961296888185335,0.495516266953808,0.13639320126222604
2017-01-24,-0.5277696276744527,0.3668808935214091,-0.4825457036848191,-0.5286817229960356,-0.31326801736111537,-0.1021400345166077,0.6540324812385379,0.6347214846520585,0.5437581322166826,0.12705061328717246
2017-01-25,-0.5410003995939724,0.40762124998197824,-0.28030936905414355,-0.14408685035243662,-0.3291368934054226,-0.12493274226742622,0.5924463895248313,0.6853070293720773,0.5266198305685208,-0.15100579840852635
2017-01-26,-0.584450443215777,0.4989280584416125,-0.3319469195791385,-0.06901768495739471,-0.4377664314313185,-0.25267670654938146,0.7821509278128502,0.32530815585892753,0.4847022394214299,0.43980468270871936
2017-01-27,-0.6310009632820587,0.4536927585228161,-0.4121063893787008,-0.34179540274580994,-0.427845658816395,-0.21542726274495216,0.8463015821803137,0.8152310685420956,0.5486042108300704,-0.020644044202639086
