,post_count,comment_count
2017-01-01,-1.1700308345617259,-1.5983770050840738
2017-01-02,-0.8053991988414055,-1.2959738786914394
2017-01-03,-1.2915747131351658,-1.067745104055489
2017-01-04,-1.190288147657299,0.056281611026566696
2017-01-05,-0.6433406940768187,-0.7082847840038672
2017-01-06,-1.595434409568766,-0.8109877325900449
2017-01-07,-1.4941478440908993,-0.9707478748352101
2017-01-08,-1.3118320262307392,-0.8509277681513362
2017-01-09,-0.8661711381281255,-0.8623392068831337
2017-01-10,-1.1092588952750058,-0.006481301998319667
2017-01-11,-0.7648845726502588,-1.5013797758637948
2017-01-12,-1.352346652421886,-1.1476251751780717
2017-01-13,-1.3320893393263125,-1.5869655663522761
2017-01-14,-1.6967209750466328,-1.5299083726932885
2017-01-15,-1.4333759048041792,-1.4386168628389084
2017-01-16,-1.1497735214661524,-0.9764535942011089
2017-01-17,-0.8661711381281255,-0.9707478748352101
2017-01-18,-0.8256565119369789,-0.3145901477568527
2017-01-19,-1.2510600869440192,-0.7938705744923485
2017-01-20,-1.4333759048041792,-1.4043825466435158
2017-01-21,-1.7372356012377794,-1.6839627955725551
2017-01-22,-1.534662470282046,-1.8608400959154165
2017-01-23,-1.190288147657299,-1.1476251751780717
2017-01-24,-0.886428451223699,-0.8680449262490324
2017-01-25,-1.1497735214661524,-0.5257017642951068
2017-01-26,-1.3726039655174593,-0.2974729896591564
2017-01-27,-1.1497735214661524,-1.0278050684941977
2017-01-28,-1.6359490357599127,-1.6782570762066564
2017-01-29,-1.595434409568766,-1.4272054241071108
2017-01-30,-1.129516208370579,-1.1248022977144767
2017-01-31,-1.068744269083859,-1.4329111434730097
2017-02-01,-1.068744269083859,-0.9935707522988051
2017-02-02,-1.2915747131351658,-0.24612151536606758
2017-02-03,-0.9472003905104189,-0.5827589579540944
2017-02-04,-1.473890530995326,-1.5926712857181748
2017-02-05,-1.473890530995326,-1.4671454596684022
2017-02-06,-0.9269430774148456,-1.1476251751780717
2017-02-07,-1.2308027738484457,-1.090567981519084
2017-02-08,-0.4610248762166586,-0.8851620843467287
2017-02-09,-1.3726039655174593,-1.0620393846895904
2017-02-10,-1.5751770964731926,-0.7311076614674622
2017-02-11,-1.8790367929067928,-2.003483080062886
2017-02-12,-1.413118591708606,-1.5869655663522761
2017-02-13,-1.190288147657299,-1.518496933961491
2017-02-14,-1.2915747131351658,-1.3701482304481234
2017-02-15,-1.3118320262307392,-0.7425191001992597
2017-02-16,-0.9269430774148456,-0.7311076614674622
2017-02-17,-1.534662470282046,-1.6839627955725551
2017-02-18,-1.7980075405244995,-1.6326113212794662
2017-02-19,-1.3726039655174593,-1.6668456374748588
2017-02-20,-1.3726039655174593,-0.9650421554693114
2017-02-21,-0.9269430774148456,-0.38305878014763783
2017-02-22,-0.8661711381281255,-0.5770532385881957
2017-02-23,-1.3118320262307392,-1.0335107878600964
2017-02-24,-1.5549197833776194,-1.6554341987430612
2017-02-25,-1.473890530995326,-1.4100882660094147
2017-02-26,-1.595434409568766,-1.4842626177660985
2017-02-27,-1.1092588952750058,-1.3473253529845282
2017-02-28,-1.3320893393263125,-0.6911676259061709
2017-03-01,-1.2510600869440192,-1.4671454596684022
2017-03-02,-1.352346652421886,-1.0163936297624
2017-03-03,-1.2915747131351658,-1.353031072350427
2017-03-04,-1.595434409568766,-1.6326113212794662
2017-03-05,-1.6562063488554861,-1.5983770050840738
2017-03-06,-1.190288147657299,-1.0848622621531854
2017-03-07,-1.3320893393263125,-0.8338106100536399
2017-03-08,-1.2713174000395926,-0.8851620843467287
2017-03-09,-1.0890015821794323,-0.5656417998563982
2017-03-10,-1.6967209750466328,-1.1932709301052618
2017-03-11,-1.413118591708606,-1.210388088202958
2017-03-12,-1.7980075405244995,-1.8608400959154165
2017-03-13,-1.352346652421886,-1.2046823688370594
2017-03-14,-0.9877150167015657,-1.164742333275768
2017-03-15,-1.1092588952750058,-0.3773530607817391
2017-03-16,-1.0890015821794323,-0.46293885127022044
2017-03-17,-0.886428451223699,-0.7539305389310572
2017-03-18,-1.534662470282046,-1.4100882660094147
2017-03-19,-1.777750227428926,-1.4272054241071108
2017-03-20,-0.7648845726502588,-0.6797561871743734
2017-03-21,-1.068744269083859,-0.7881648551264497
2017-03-22,-0.7041126333635388,-0.12059568931629487
2017-03-23,-0.9269430774148456,-0.662639029076677
2017-03-24,-1.2308027738484457,-1.4214997047412121
2017-03-25,-1.7980075405244995,-1.4043825466435158
2017-03-26,-1.6562063488554861,-1.4557340209366048
2017-03-27,-0.9066857643192723,-0.9193964005421212
2017-03-28,-0.7243699464591121,-0.23471007663427007
2017-03-29,-1.1497735214661524,-0.24612151536606758
2017-03-30,-1.534662470282046,-1.0791565427872865
2017-03-31,-1.4333759048041792,-1.1248022977144767
2017-04-01,-1.5549197833776194,-1.495674056497896
2017-04-02,-1.5144051571864727,-1.6611399181089601
2017-04-03,-1.007972329797139,-1.780960024792834
2017-04-04,-0.7041126333635388,-0.5142903255633093
2017-04-05,-0.9269430774148456,-0.6740504678084746
2017-04-06,-1.190288147657299,-1.090567981519084
2017-04-07,-0.9674577036059923,-0.3202958671227515
2017-04-08,-1.7980075405244995,-1.4500283015707058
2017-04-09,-1.5751770964731926,-1.7695485860610365
2017-04-10,-1.1497735214661524,-1.2160938075688568
2017-04-11,-1.1497735214661524,-0.1605357248775862
2017-04-12,-0.4407675631210853,-0.6854619065402721
2017-04-13,-1.4536332178997526,-1.0278050684941977
2017-04-14,-1.352346652421886,-0.9308078392739187
2017-04-15,-1.6156917226643395,-1.4899683371319972
2017-04-16,-1.9195514190979397,-2.208888977235241
2017-04-17,-0.886428451223699,-0.8281048906877411
2017-04-18,-1.2308027738484457,-1.136213736446274
2017-04-19,-1.1497735214661524,-1.136213736446274
2017-04-20,-0.7243699464591121,-1.2446224043983505
2017-04-21,-1.1092588952750058,-1.3587367917163258
2017-04-22,-1.129516208370579,-1.8836629733790118
2017-04-23,-1.2713174000395926,-1.6097884438158712
2017-04-24,-0.4002529369299386,-0.6569333097107783
2017-04-25,-0.8053991988414055,-0.7311076614674622
2017-04-26,-1.3320893393263125,-1.0049821910306027
2017-04-27,-0.8256565119369789,-0.9365135586398176
2017-04-28,-1.595434409568766,-1.7980771828905302
2017-04-29,-1.5549197833776194,-1.3130910367891357
2017-04-30,-1.413118591708606,-1.398676827277617
2017-05-01,-0.9066857643192723,-1.3245024755209331
2017-05-02,-1.0282296428927122,-1.5299083726932885
2017-05-03,-0.7446272595546855,-0.6854619065402721
2017-05-04,-1.3320893393263125,-1.8437229378177205
2017-05-05,-1.4333759048041792,-1.6097884438158712
2017-05-06,-1.5751770964731926,-1.3701482304481234
2017-05-07,-1.5751770964731926,-1.8893686927449105
2017-05-08,-1.190288147657299,-1.330208194886832
2017-05-09,-1.129516208370579,-1.472851179034301
2017-05-10,-1.5549197833776194,-1.067745104055489
2017-05-11,-1.777750227428926,-1.4614397403025035
2017-05-12,-1.1092588952750058,-1.3245024755209331
2017-05-13,-1.5144051571864727,-1.9692487638674931
2017-05-14,-1.9600660452890863,-2.1290089061126585
2017-05-15,-1.4941478440908993,-1.4614397403025035
2017-05-16,-1.413118591708606,-1.7581371473292389
2017-05-17,-1.2915747131351658,-1.8380172184518215
2017-05-18,-1.6156917226643395,-1.6554341987430612
2017-05-19,-1.2308027738484457,-1.4272054241071108
2017-05-20,-1.818264853620073,-1.9578373251356955
2017-05-21,-1.8385221667156462,-1.8209000603541254
2017-05-22,-1.129516208370579,-0.9764535942011089
2017-05-23,-1.5549197833776194,-1.61549416318177
2017-05-24,-1.1092588952750058,-1.8094886216223278
2017-05-25,-1.0484869559882857,-0.639816151613082
2017-05-26,-1.2713174000395926,-1.136213736446274
2017-05-27,-1.4333759048041792,-1.7353142698656439
2017-05-28,-1.5549197833776194,-1.5698484082545798
2017-05-29,-1.352346652421886,-0.7425191001992597
2017-05-30,-1.2105454607528725,-1.353031072350427
2017-05-31,-0.8053991988414055,-1.4500283015707058
2017-06-01,-1.2713174000395926,-1.1533308945439704
2017-06-02,-1.2105454607528725,-1.5584369695227824
2017-06-03,-1.4536332178997526,-1.5356140920591874
2017-06-04,-1.6764636619510593,-1.6668456374748588
2017-06-05,-0.886428451223699,-1.398676827277617
2017-06-06,-1.190288147657299,-1.7124913924020488
2017-06-07,-1.2713174000395926,-1.5127912145955924
2017-06-08,-1.1700308345617259,-1.4272054241071108
2017-06-09,-1.1092588952750058,-1.1305080170803754
2017-06-10,-1.7372356012377794,-1.4157939853753134
2017-06-11,-1.6967209750466328,-1.8437229378177205
2017-06-12,-1.0484869559882857,-0.9593364361034126
2017-06-13,-1.1092588952750058,-1.0049821910306027
2017-06-14,-1.534662470282046,-1.5242026533273898
2017-06-15,-1.2915747131351658,-1.5812598469863774
2017-06-16,-1.8587794798112196,-1.9635430445015942
2017-06-17,-1.5751770964731926,-1.8094886216223278
2017-06-18,-1.5751770964731926,-1.5584369695227824
2017-06-19,-1.2915747131351658,-0.33741302522044775
2017-06-20,-0.9472003905104189,-0.9935707522988051
2017-06-21,-1.3726039655174593,-0.7881648551264497
2017-06-22,-1.2713174000395926,-1.2788567205937431
2017-06-23,-1.2510600869440192,-0.9593364361034126
2017-06-24,-1.7574929143333529,-1.9007801314767079
2017-06-25,-1.473890530995326,-1.3245024755209331
2017-06-26,-0.9877150167015657,-1.2902681593255407
2017-06-27,-1.2510600869440192,-0.6569333097107783
2017-06-28,-0.9674577036059923,-1.3187967561550344
2017-06-29,-0.7446272595546855,-0.6455218709789808
2017-06-30,-1.6156917226643395,-1.5527312501568835
2017-07-01,-1.6359490357599127,-2.043423115624177
2017-07-02,-0.7243699464591121,-0.8338106100536399
2017-07-03,-1.3928612786130325,-0.8908678037126274
2017-07-04,-1.7372356012377794,-1.9863659219651895
2017-07-05,-1.0282296428927122,-1.4614397403025035
2017-07-06,-1.190288147657299,-1.4386168628389084
2017-07-07,-0.9674577036059923,-0.902279242444425
2017-07-08,-1.068744269083859,-1.4557340209366048
2017-07-09,-1.0484869559882857,-1.307385317423237
2017-07-10,-0.9066857643192723,-0.8338106100536399
2017-07-11,-0.6838553202679655,-1.044922226591894
2017-07-12,-1.1497735214661524,-0.9536307167375139
2017-07-13,-1.1497735214661524,-1.1761537720075654
2017-07-14,-0.9877150167015657,-1.0734508234213878
2017-07-15,-1.3928612786130325,-0.7196962227356647
2017-07-16,-0.9066857643192723,-1.5470255307909848
2017-07-17,-0.8459138250325522,-1.0734508234213878
2017-07-18,-1.2713174000395926,-1.1761537720075654
2017-07-19,-0.6433406940768187,-0.616993274149487
2017-07-20,-1.2915747131351658,-1.4272054241071108
2017-07-21,-1.3320893393263125,-1.5013797758637948
2017-07-22,-1.3118320262307392,-0.8281048906877411
2017-07-23,-1.4941478440908993,-1.6896685149384538
2017-07-24,-0.6635980071723921,-0.9536307167375139
2017-07-25,-0.7648845726502588,-0.7767534163946522
2017-07-26,-0.886428451223699,-1.1476251751780717
2017-07-27,-0.9877150167015657,-0.9193964005421212
2017-07-28,-0.7446272595546855,-1.375853949814022
2017-07-29,-1.2510600869440192,-1.5127912145955924
2017-07-30,-1.413118591708606,-0.9821593135670076
2017-07-31,-0.8661711381281255,-1.518496933961491
2017-08-01,-0.6838553202679655,-0.8452220487854374
2017-08-02,-0.6230833809812454,-0.9136906811762225
2017-08-03,-1.1092588952750058,-0.92510211990802
2017-08-04,-1.352346652421886,-0.9479249973716151
2017-08-05,-1.4536332178997526,-1.8551343765495178
2017-08-06,-1.4941478440908993,-1.8893686927449105
2017-08-07,-1.352346652421886,-0.662639029076677
2017-08-08,-0.6028260678856721,-0.8452220487854374
2017-08-09,-1.0282296428927122,-0.805282013224146
2017-08-10,-0.8256565119369789,-1.164742333275768
2017-08-11,-0.9269430774148456,-1.0049821910306027
2017-08-12,-1.4536332178997526,-1.6839627955725551
2017-08-13,-1.3928612786130325,-1.5356140920591874
2017-08-14,-0.11665055359191173,-0.9593364361034126
2017-08-15,-0.7243699464591121,-1.3187967561550344
2017-08-16,-1.4941478440908993,-1.3187967561550344
2017-08-17,-0.9066857643192723,-1.233210965666553
2017-08-18,-0.9472003905104189,-1.3473253529845282
2017-08-19,-1.473890530995326,-1.044922226591894
2017-08-20,-1.413118591708606,-1.2845624399596418
2017-08-21,-1.3726039655174593,-1.5698484082545798
2017-08-22,-0.8256565119369789,-1.0106879103965014
2017-08-23,-0.8256565119369789,-0.9365135586398176
2017-08-24,-0.6838553202679655,-0.7995762938582474
2017-08-25,-1.1700308345617259,-1.5584369695227824
2017-08-26,-0.9269430774148456,-1.9578373251356955
2017-08-27,-1.2915747131351658,-1.4899683371319972
2017-08-28,-0.15716517978305844,-0.012187021364218426
2017-08-29,-0.09639324049633839,-0.7425191001992597
2017-08-30,-0.8256565119369789,-0.3145901477568527
2017-08-31,-0.7446272595546855,-0.7653419776628547
2017-09-01,-1.2308027738484457,-1.4214997047412121
2017-09-02,-1.473890530995326,-1.2503281237642494
