,post_count,comment_count
2017-01-01,-0.2952149371260337,0.2062338068925832
2017-01-02,-1.1510281707649366,-0.753668664522031
2017-01-03,-0.8921266883195542,-0.9650461517506377
2017-01-04,-0.8489764412453238,-1.2709218097402686
2017-01-05,-1.0215774295422455,-1.2211859303923611
2017-01-06,-1.215753541376282,-1.7508730454475756
2017-01-07,-1.3164374512161532,-1.2908161614794316
2017-01-08,-0.8921266883195542,-1.4027218900122234
2017-01-09,-0.9280852275480795,-0.6094346144130993
2017-01-10,-1.1294530472278215,-0.8854687447939857
2017-01-11,-1.2589037884505125,-1.0769518802834295
2017-01-12,-1.3595876982903836,-1.586744643599481
2017-01-13,-1.51061356305019,-1.019755619033336
2017-01-14,-1.625680888581471,-1.8354240403390183
2017-01-15,-1.4458881924388443,-1.241080282131524
2017-01-16,-1.2660954962962176,-1.106793407892174
2017-01-17,-0.9352769353937846,-0.8556272171852413
2017-01-18,-1.417121361056024,-1.3952615081100372
2017-01-19,-1.1438364629192315,-1.2211859303923611
2017-01-20,-1.6472560121185862,-2.0343675577306484
2017-01-21,-1.5537638101244202,-1.6787560203931098
2017-01-22,-1.2948623276790379,-1.5419823521863643
2017-01-23,-0.97123547462231,-0.3557816297387712
2017-01-24,-1.0359608452336555,-1.1639896691422675
2017-01-25,-1.2589037884505125,-1.0620311164790572
2017-01-26,-1.215753541376282,-1.333091658925153
2017-01-27,-1.0719193844621808,-0.5522383531630056
2017-01-28,-1.6975979670385217,-1.633993728979993
2017-01-29,-1.172603294302052,-1.0371631768051035
2017-01-30,-1.086302800153591,-0.7362611067502633
2017-01-31,-0.8633598569367339,-0.7263139308806819
2017-02-01,-0.9208935197023744,-0.8680611870222181
2017-02-02,-1.215753541376282,-0.634302554087053
2017-02-03,-1.1582198786106417,-0.8829819508265904
2017-02-04,-1.4818467316673696,-1.832937246371623
2017-02-05,-1.4674633159759596,-1.0520839406094757
2017-02-06,-1.0359608452336555,-0.920283860337521
2017-02-07,-1.2660954962962176,-1.0446235587072896
2017-02-08,-1.2732872041419228,-0.5199100315868658
2017-02-09,-1.215753541376282,-1.2062651665879889
2017-02-10,-1.4386964845931391,-1.7160579299040404
2017-02-11,-1.51061356305019,-2.2159035173505104
2017-02-12,-1.2301369570676923,-0.9277442422397071
2017-02-13,-0.5756915431085313,-0.13694376060797833
2017-02-14,-1.2948623276790379,-0.8332460714786829
2017-02-15,-1.1222613393821164,-0.9501253879462654
2017-02-16,-1.4386964845931391,-1.8055825127302738
2017-02-17,-1.6688311356557013,-1.64642769881697
2017-02-18,-1.417121361056024,-1.4972200607732475
2017-02-19,-1.5681472258158304,-1.7707673971867386
2017-02-20,-1.2732872041419228,-1.0122952371311498
2017-02-21,-0.9640437667766049,-1.6588616686539468
2017-02-22,-1.2948623276790379,-1.2485406640337102
2017-02-23,-1.51061356305019,-1.6837296083279005
2017-02-24,-1.503421855204485,-1.3504992166969205
2017-02-25,-1.4674633159759596,-2.019446793926276
2017-02-26,-1.4530799002845494,-1.2211859303923611
2017-02-27,-1.1366447550735264,-1.1714500510444537
2017-02-28,-1.1797950021477568,-1.44748418142534
2017-03-01,-1.194178417839167,-1.4624049452297123
2017-03-02,-1.5609555179701253,-1.333091658925153
2017-03-03,-1.640064304272881,-2.066695879306788
2017-03-04,-1.7119813827299317,-1.8379108343064137
2017-03-05,-1.417121361056024,-1.467378533164503
2017-03-06,-1.1654115864563468,-1.5370087642515735
2017-03-07,-1.1582198786106417,-1.1018198199573832
2017-03-08,-1.3595876982903836,-1.653888080719156
2017-03-09,-1.5681472258158304,-2.0343675577306484
2017-03-10,-1.5393803944330102,-1.793148542893297
2017-03-11,-1.6975979670385217,-1.3778539503382696
2017-03-12,-1.640064304272881,-0.9948876793593822
2017-03-13,-1.215753541376282,0.20126021895779245
2017-03-14,-1.2445203727591025,-1.0446235587072896
2017-03-15,-1.2373286649133974,-1.2361066941967334
2017-03-16,-1.5537638101244202,-1.9150014472956702
2017-03-17,-1.7047896748842266,-1.840397628273809
2017-03-18,-1.640064304272881,-1.8578051860455767
2017-03-19,-1.517805270895895,-1.467378533164503
2017-03-20,-1.1078779236907061,-0.5771062928369594
2017-03-21,-1.3811628218274987,-0.987427297457196
2017-03-22,-1.3380125747532683,-0.8630875990874274
2017-03-23,-1.4386964845931391,-1.7359522816432034
2017-03-24,-1.5753389336615355,-1.4922464728384568
2017-03-25,-1.8054735847240977,-1.5171144125124105
2017-03-26,-1.4027379453646138,-1.3703935684360835
2017-03-27,-1.0359608452336555,-0.9575857698484516
2017-03-28,-1.302054035524743,-1.3455256287621298
2017-03-29,-1.51061356305019,-1.5370087642515735
2017-03-30,-1.3452042825989734,-2.1512468741982307
2017-03-31,-1.6688311356557013,-2.099024200882928
2017-04-01,-1.7695150454955724,-2.297967718274558
2017-04-02,-1.517805270895895,-1.2311331062619426
2017-04-03,-0.978427182468015,-0.03498520794476801
2017-04-04,-1.2013701256848721,-0.3458344538691897
2017-04-05,-1.51061356305019,-1.4101822719144095
2017-04-06,-1.1654115864563468,-1.420129447783991
2017-04-07,-1.3595876982903836,-1.2634614278380825
2017-04-08,-1.747939921958457,-1.5171144125124105
2017-04-09,-1.417121361056024,-1.6116125832734347
2017-04-10,-0.7554842392511579,-0.11207582093402459
2017-04-11,-1.0647276766164757,-0.8158385137069153
