,post_count,comment_count
2017-01-01,-0.15244987666830068,-0.5966533546975308
2017-01-02,-0.31238508451783953,-0.6866847013952407
2017-01-03,-1.1953876317751078,-0.8438157772270599
2017-01-04,-1.215710853718191,0.18523289513519492
2017-01-05,-0.7288939730015561,-0.6789072564351716
2017-01-06,-1.468789973598416,-0.5977373729618005
2017-01-07,-0.9740606578986422,-0.33612626110645216
2017-01-08,-0.6489458298614488,-0.3620393223292538
2017-01-09,-0.5226401718414955,-0.6600771616725616
2017-01-10,-0.8111028038231883,0.1058536978605867
2017-01-11,-0.5606797478743111,-1.4317078950721502
2017-01-12,-1.0702280311258907,-1.1597112971796604
2017-01-13,-0.9088921742708431,-1.3046799470635733
2017-01-14,-0.8962119217832641,-0.7778838298331523
2017-01-15,-0.6877464752167666,-0.6590813347671941
2017-01-16,-0.7044153953585401,-0.61212004793378
2017-01-17,-0.3801175605307206,-0.6235218180722129
2017-01-18,-0.6240761249873121,-0.32645899496368586
2017-01-19,-0.8010706611159051,-0.6921896378466339
2017-01-20,-0.8995161857273647,-1.0511160432024125
2017-01-21,-0.791631932678952,-0.931999025618596
2017-01-22,-0.7919680025299866,-1.1805240934632488
2017-01-23,-1.028875975083046,-0.990362877137161
2017-01-24,-0.5403992668693203,-0.6922361377535565
2017-01-25,-0.786694712624177,-0.29470373595372135
2017-01-26,-0.9464985805481434,-0.04129935695436798
2017-01-27,-0.6269567858851425,-0.7349178442186595
2017-01-28,-0.6631753647939851,-0.7566684195575964
2017-01-29,-0.7064583214025155,-0.6401683185997166
2017-01-30,-0.7783098844243339,-0.731159216491011
2017-01-31,-0.796247889540959,-1.2206419390927843
2017-02-01,-0.7098643032046044,-0.7664971147615852
2017-02-02,-0.895167970513782,0.06103784946234139
2017-02-03,-0.4250117514798608,-0.3191379750454771
2017-02-04,-0.5615701132365533,-0.7166010995491137
2017-02-05,-0.6240411883103106,-0.7298945211555316
2017-02-06,-0.4413347271925807,-0.6731154084941
2017-02-07,-0.926820182655966,-0.8425610158478212
2017-02-08,-0.0903041138768067,-0.5957752720896925
2017-02-09,-0.910189536201947,-0.6408996443094095
2017-02-10,-0.9401794493684116,-0.305873154120733
2017-02-11,-0.8178397317913559,-1.2000852876402985
2017-02-12,-0.5410784548422931,-0.8518838554547636
2017-02-13,-0.7024510791811118,-1.1402297127245513
2017-02-14,-0.7650075330862247,-1.0715972295098486
2017-02-15,-0.7181507868938016,-0.3524662259339349
2017-02-16,-0.3734717182877514,-0.4104698882849935
2017-02-17,-0.700335881133114,-1.1043048641525788
2017-02-18,-0.7176940671589964,-0.5780529352300303
2017-02-19,-0.40914371586209974,-0.6905446519240817
2017-02-20,-0.8056105684271312,-0.41328320104690597
2017-02-21,-0.5077006863801852,-0.1172032184054701
2017-02-22,-0.4843287464525241,-0.3085784902649614
2017-02-23,-0.964217924420814,-0.6729394742729253
2017-02-24,-0.8907239266317757,-1.1566501954145596
2017-02-25,-0.5405472449984658,-0.49130861141959115
2017-02-26,-0.8618089011469618,-0.5980596248494234
2017-02-27,-0.6224651567667108,-0.8540017992064808
2017-02-28,-0.8529795019563758,-0.2914283385859441
2017-03-01,-0.8014920135363734,-1.069327948495598
2017-03-02,-0.8175569339646963,-0.545963502566496
2017-03-03,-0.631657170872055,-0.8498716129290346
2017-03-04,-0.5033725422023445,-0.6587028018205202
2017-03-05,-0.7550726787843777,-0.8034670985874688
2017-03-06,-0.6916953511146016,-0.5986126591378764
2017-03-07,-0.8197932098023524,-0.4256771743987039
2017-03-08,-0.7576521769991922,-0.5241601314604549
2017-03-09,-0.5254279736358276,-0.11805453653265346
2017-03-10,-1.0027384157177803,-0.7635354121650739
2017-03-11,-0.33177500421273165,-0.3066617760667081
2017-03-12,-0.8472124899088559,-0.9942635212950652
2017-03-13,-0.7643315814583185,-0.6898892586050529
2017-03-14,-0.5326223123342992,-0.926124960409526
2017-03-15,-0.5969242573877561,-0.008652188387491655
2017-03-16,-0.5178378569572238,-0.17181427164734298
