,post_count,comment_count
2017-01-01,0.05857282846320855,0.5280893711244423
2017-01-02,-0.7964617438551458,-0.38678106291575587
2017-01-03,-1.0464142307082114,-1.0660111414178184
2017-01-04,-1.1802635636383652,-0.6984156770466027
2017-01-05,-1.1547173179377856,-0.792547392326641
2017-01-06,-1.3831432413740252,-1.0440378610586374
2017-01-07,-0.9285027636061003,-0.7042972258565386
2017-01-08,-0.7979432989382707,-1.0051285696702021
2017-01-09,-0.7011539817080112,-0.712177576102968
2017-01-10,-1.0402779487637086,-1.3816820156333782
2017-01-11,-0.9628755783107289,-0.9944238751689889
2017-01-12,-1.0440758734103268,-1.255769239538735
2017-01-13,-1.1722673308533305,-1.4103659021897241
2017-01-14,-0.464487713896936,-0.19234630538282238
2017-01-15,-0.6417627926649272,-0.7335286318302
2017-01-16,-0.9542736416539312,-0.9582591695382847
2017-01-17,-1.0482131907653773,-0.9753666590426164
2017-01-18,-1.3204468359039119,-1.4813966770295932
2017-01-19,-0.9374027964242257,-1.5882495642027648
2017-01-20,-0.890251139703136,-1.5325774827635714
2017-01-21,-0.5152258267487337,-0.6685856885297518
2017-01-22,-0.6446977545002804,-0.7211863116219137
2017-01-23,-0.6996795927823357,-0.36535035256023884
2017-01-24,-0.8700094007691117,-0.5862536775410233
2017-01-25,-1.012073867901161,-0.9337754909272928
2017-01-26,-0.7776936546449715,-0.8895527421542601
2017-01-27,-0.9869709417633651,-1.1848036674370632
2017-01-28,-0.4758162788324296,-0.5370550906539112
2017-01-29,-0.37602067899405434,-0.5409976515581135
2017-01-30,-0.6567599875207857,-1.1003739342688188
2017-01-31,-0.8578653870161659,-1.0341349337868677
2017-02-01,-1.1019495294283064,-1.5118352346503083
2017-02-02,-0.8808295700481246,-1.1188321349151964
2017-02-03,-1.1467131299334627,-1.2793744039227157
2017-02-04,-0.3649158949107355,-0.7893711290098939
2017-02-05,-0.5865010616041387,-0.8737699640671416
2017-02-06,-1.0731375091589244,-1.3460297244019717
2017-02-07,-1.0834096310598604,-0.8841143060380494
2017-02-08,-0.9799528233848775,-0.9733434496897397
2017-02-09,-0.8515405198816066,-1.151786873380571
2017-02-10,-0.7401550296383553,-0.9599416829476688
2017-02-11,-0.44859061622893814,-0.8021810688975304
2017-02-12,-0.40519617580319545,-0.28819873561391396
2017-02-13,-0.7037224256288963,-0.650455266534381
2017-02-14,-0.5548364044733107,-0.6839141361239439
2017-02-15,-0.5366805272221283,-0.7638365624835648
2017-02-16,-0.6748067715056,-1.2033104692392342
2017-02-17,-0.8100960887966817,-1.2136713533664953
2017-02-18,-0.4906719315248895,-0.6217670116493079
2017-02-19,-0.5218483366706085,0.045535240457554305
2017-02-20,-0.7224824610883839,-0.6238986473660616
2017-02-21,-0.9926289222360862,-0.9397332669757181
2017-02-22,-1.0055498305767383,-1.1874479783497898
2017-02-23,-1.0397781204424146,-0.9456952784387593
2017-02-24,-0.9924663667089737,-1.123120981771299
2017-02-25,-0.5886839368567185,-0.7439406399591845
2017-02-26,-0.6292876228121289,-0.6894446414740238
2017-02-27,-0.5456516639771429,0.2809072549908738
2017-02-28,-0.7246892022443506,-0.0031484555632477207
2017-03-01,-0.9867823308815085,-1.1560619581783176
2017-03-02,-0.7669256852307255,-0.9011409599487581
